id,name,cnic,seat_number,bus_number,booking_date,status
36,Kelly Cruz,99999-4080097-9,33,BUS-102,2026-05-22 22:38:27.990000,confirmed
51,Regina Edwards,33333-4276244-3,34,BUS-102,2026-05-22 22:38:28.050000,confirmed
140,Nicholas Houston,33333-2733459-3,36,BUS-102,2026-05-22 22:38:28.393000,confirmed
39,Peter Cooper,88888-5512958-8,38,BUS-102,2026-05-22 22:38:27.997000,confirmed
137,Dalton Hawkins,88888-7120112-8,40,BUS-102,2026-05-22 22:38:28.380000,confirmed
205,Tracy Fuller,44444-6244839-4,1,BUS-103,2026-05-22 22:38:28.587000,confirmed
175,Brian Miller,44444-9720499-4,2,BUS-103,2026-05-22 22:38:28.507000,confirmed
38,Peter Cooper,88888-5512958-8,3,BUS-103,2026-05-22 22:38:27.997000,confirmed
161,Christopher Blake,66666-5594902-6,5,BUS-103,2026-05-22 22:38:28.467000,confirmed
194,Kevin Bennett,88888-7547058-8,6,BUS-103,2026-05-22 22:38:28.560000,confirmed
173,John Butler,11111-5329807-1,9,BUS-103,2026-05-22 22:38:28.500000,confirmed
94,Carla Martin MD,77777-2157635-7,10,BUS-103,2026-05-22 22:38:28.223000,confirmed
186,Jane Young MD,22222-8688241-2,11,BUS-103,2026-05-22 22:38:28.540000,confirmed
212,Kenneth Stephens,33333-1055280-3,12,BUS-103,2026-05-22 22:38:28.610000,confirmed
77,Elizabeth Cross,11111-0166566-1,14,BUS-103,2026-05-22 22:38:28.153000,confirmed
5,Tara Wilson,22222-9718357-2,15,BUS-103,2026-05-22 22:38:27.843000,confirmed
99,Patrick Carr,22222-9918055-2,18,BUS-103,2026-05-22 22:38:28.247000,confirmed
155,Jessica Young,77777-9776444-7,20,BUS-103,2026-05-22 22:38:28.440000,confirmed
48,Melissa Wilson,33333-2642654-3,21,BUS-103,2026-05-22 22:38:28.040000,confirmed
124,John Jackson,99999-5508324-9,23,BUS-103,2026-05-22 22:38:28.343000,confirmed
23,Victor Miller,66666-0403650-6,25,BUS-103,2026-05-22 22:38:27.930000,confirmed
151,Stacey Henderson,33333-3633520-3,26,BUS-103,2026-05-22 22:38:28.433000,confirmed
28,Tristan Gibson,66666-1170677-6,30,BUS-103,2026-05-22 22:38:27.950000,confirmed
179,Diane Lopez MD,77777-2701364-7,32,BUS-103,2026-05-22 22:38:28.513000,confirmed
3,Mary Allison,77777-2556577-7,34,BUS-103,2026-05-22 22:38:27.830000,confirmed
52,Timothy Simpson,44444-1391131-4,36,BUS-103,2026-05-22 22:38:28.057000,confirmed
97,Michael Haynes,77777-9282919-7,38,BUS-103,2026-05-22 22:38:28.240000,confirmed
150,Stacey Henderson,33333-3633520-3,3,BUS-104,2026-05-22 22:38:28.430000,confirmed
109,Timothy Fitzgerald,55555-5718996-5,5,BUS-104,2026-05-22 22:38:28.280000,confirmed
196,Catherine Black,33333-2783699-3,6,BUS-104,2026-05-22 22:38:28.563000,confirmed
164,Molly Joseph,33333-7598414-3,9,BUS-104,2026-05-22 22:38:28.477000,confirmed
148,Garrett Nunez,11111-7194547-1,14,BUS-104,2026-05-22 22:38:28.423000,confirmed
134,Vincent Moody,99999-8936277-9,15,BUS-104,2026-05-22 22:38:28.363000,confirmed
25,Christopher Farrell,11111-0537878-1,16,BUS-104,2026-05-22 22:38:27.937000,confirmed
192,Rebecca Cameron,88888-0960206-8,17,BUS-104,2026-05-22 22:38:28.557000,confirmed
60,Paul Willis,99999-2614021-9,18,BUS-104,2026-05-22 22:38:28.083000,confirmed
69,Elaine Williams,99999-3477766-9,19,BUS-104,2026-05-22 22:38:28.127000,confirmed
86,Amy Newton,22222-0949124-2,20,BUS-104,2026-05-22 22:38:28.190000,confirmed
167,Casey Malone,88888-1882938-8,21,BUS-104,2026-05-22 22:38:28.480000,confirmed
87,Joe Cordova Jr.,33333-7728397-3,23,BUS-104,2026-05-22 22:38:28.200000,confirmed
219,Zachary Jordan,55555-9433911-5,27,BUS-104,2026-05-22 22:38:28.637000,confirmed
143,Carol Meadows,77777-8944716-7,29,BUS-104,2026-05-22 22:38:28.400000,confirmed
30,Joseph Baird Jr.,88888-0872862-8,30,BUS-104,2026-05-22 22:38:27.963000,confirmed
61,Daniel Orozco,33333-1762884-3,32,BUS-104,2026-05-22 22:38:28.087000,confirmed
47,Wesley Brown,88888-9107544-8,34,BUS-104,2026-05-22 22:38:28.033000,confirmed
37,Kelly Cruz,99999-4080097-9,36,BUS-104,2026-05-22 22:38:27.990000,confirmed
75,Greg Hartman,22222-1309463-2,37,BUS-104,2026-05-22 22:38:28.147000,confirmed
189,Kathy Jackson,55555-5255109-5,38,BUS-104,2026-05-22 22:38:28.550000,confirmed
62,Daniel Orozco,33333-1762884-3,39,BUS-104,2026-05-22 22:38:28.087000,confirmed
110,Todd Marshall,55555-5272658-5,1,BUS-105,2026-05-22 22:38:28.287000,confirmed
130,Terri Cooper,99999-0772002-9,2,BUS-105,2026-05-22 22:38:28.357000,confirmed
56,Lisa Floyd,88888-2951363-8,4,BUS-105,2026-05-22 22:38:28.073000,confirmed
121,James Ortega,11111-1361795-1,5,BUS-105,2026-05-22 22:38:28.330000,confirmed
203,David Chavez,55555-0019359-5,6,BUS-105,2026-05-22 22:38:28.583000,confirmed
12,Elaine Welch,88888-0990788-8,9,BUS-105,2026-05-22 22:38:27.870000,confirmed
43,Jennifer Webster,33333-3625734-3,10,BUS-105,2026-05-22 22:38:28.013000,confirmed
113,Kevin Martin,99999-4198550-9,12,BUS-105,2026-05-22 22:38:28.293000,confirmed
213,Brian Carpenter,99999-2000497-9,16,BUS-105,2026-05-22 22:38:28.617000,confirmed
55,Kristy Patel,11111-2449761-1,18,BUS-105,2026-05-22 22:38:28.067000,confirmed
170,Eric Miles,33333-1861784-3,19,BUS-105,2026-05-22 22:38:28.490000,confirmed
76,Elizabeth Cross,11111-0166566-1,20,BUS-105,2026-05-22 22:38:28.153000,confirmed
1,Michael Martin,22222-1689099-2,21,BUS-105,2026-05-22 22:38:27.820000,confirmed
19,Devin Jones,66666-3917650-6,22,BUS-105,2026-05-22 22:38:27.907000,confirmed
116,Gregg Gallegos,77777-4830794-7,23,BUS-105,2026-05-22 22:38:28.310000,confirmed
44,Jeremiah Craig,11111-3278653-1,25,BUS-105,2026-05-22 22:38:28.020000,confirmed
142,Cindy Rodriguez,66666-4683540-6,26,BUS-105,2026-05-22 22:38:28.397000,confirmed
20,Sonya Bond,88888-3299959-8,28,BUS-105,2026-05-22 22:38:27.913000,confirmed
214,Brian Carpenter,99999-2000497-9,32,BUS-105,2026-05-22 22:38:28.617000,confirmed
168,Amy Curry,88888-8306351-8,33,BUS-105,2026-05-22 22:38:28.487000,confirmed
82,Joanne Wilson,44444-1714883-4,34,BUS-105,2026-05-22 22:38:28.173000,confirmed
17,John Hernandez,55555-3500750-5,35,BUS-105,2026-05-22 22:38:27.893000,confirmed
133,Vincent Moody,99999-8936277-9,36,BUS-105,2026-05-22 22:38:28.363000,confirmed
64,Samantha Harmon,66666-4305934-6,37,BUS-105,2026-05-22 22:38:28.090000,confirmed
136,Alan Cox,99999-2181022-9,39,BUS-105,2026-05-22 22:38:28.373000,confirmed
78,Daniel Shelton,33333-2755264-3,40,BUS-105,2026-05-22 22:38:28.160000,confirmed
58,Nicholas Banks,11111-0437875-1,1,BUS-106,2026-05-22 22:38:28.077000,confirmed
6,Tara Wilson,22222-9718357-2,2,BUS-106,2026-05-22 22:38:27.843000,confirmed
166,Casey Malone,88888-1882938-8,6,BUS-106,2026-05-22 22:38:28.480000,confirmed
33,James Williams,22222-9332448-2,8,BUS-106,2026-05-22 22:38:27.977000,confirmed
149,Garrett Nunez,11111-7194547-1,9,BUS-106,2026-05-22 22:38:28.427000,confirmed
63,Samantha Harmon,66666-4305934-6,10,BUS-106,2026-05-22 22:38:28.090000,confirmed
132,Mark Salinas,66666-3314297-6,12,BUS-106,2026-05-22 22:38:28.360000,confirmed
153,David Burns,22222-8743712-2,14,BUS-106,2026-05-22 22:38:28.437000,confirmed
178,Monica Love,66666-8952068-6,18,BUS-106,2026-05-22 22:38:28.510000,confirmed
84,Jose Davis,55555-1888591-5,21,BUS-106,2026-05-22 22:38:28.183000,confirmed
93,Veronica Smith,22222-9989691-2,25,BUS-106,2026-05-22 22:38:28.217000,confirmed
83,Katherine Porter,88888-6746576-8,26,BUS-106,2026-05-22 22:38:28.177000,confirmed
79,Daniel Shelton,33333-2755264-3,27,BUS-106,2026-05-22 22:38:28.160000,confirmed
182,Peggy Perkins,77777-5373541-7,29,BUS-106,2026-05-22 22:38:28.523000,confirmed
10,Alice Porter,99999-1422739-9,31,BUS-106,2026-05-22 22:38:27.860000,confirmed
162,Joseph Haynes,88888-3436516-8,32,BUS-106,2026-05-22 22:38:28.470000,confirmed
199,Michael Gomez,55555-8157169-5,34,BUS-106,2026-05-22 22:38:28.570000,confirmed
108,Melinda Montgomery,55555-0082020-5,35,BUS-106,2026-05-22 22:38:28.273000,confirmed
141,Nicholas Houston,33333-2733459-3,36,BUS-106,2026-05-22 22:38:28.393000,confirmed
176,Brian Miller,44444-9720499-4,37,BUS-106,2026-05-22 22:38:28.507000,confirmed
73,Morgan Jenkins,22222-0245264-2,38,BUS-106,2026-05-22 22:38:28.143000,confirmed
200,Michael Gomez,55555-8157169-5,39,BUS-106,2026-05-22 22:38:28.573000,confirmed
98,Patrick Carr,22222-9918055-2,40,BUS-106,2026-05-22 22:38:28.243000,confirmed
188,Jason Edwards,88888-1232799-8,1,BUS-107,2026-05-22 22:38:28.543000,confirmed
117,Gregg Gallegos,77777-4830794-7,3,BUS-107,2026-05-22 22:38:28.310000,confirmed
66,Adrian Murphy,22222-4306416-2,5,BUS-107,2026-05-22 22:38:28.107000,confirmed
216,Erin Hernandez DVM,22222-1182406-2,7,BUS-107,2026-05-22 22:38:28.627000,confirmed
42,Rebekah Matthews,33333-3649012-3,8,BUS-107,2026-05-22 22:38:28.010000,confirmed
184,Brooke Morgan,99999-7605549-9,10,BUS-107,2026-05-22 22:38:28.533000,confirmed
114,Richard Haynes,99999-8738477-9,11,BUS-107,2026-05-22 22:38:28.297000,confirmed
183,John Becker,99999-1257539-9,12,BUS-107,2026-05-22 22:38:28.530000,confirmed
95,Kristina Raymond,22222-4217497-2,14,BUS-107,2026-05-22 22:38:28.230000,confirmed
11,Teresa Rocha,99999-8032290-9,15,BUS-107,2026-05-22 22:38:27.863000,confirmed
128,Mary Sampson,22222-3848625-2,16,BUS-107,2026-05-22 22:38:28.350000,confirmed
217,Andrew Stone,11111-9061685-1,19,BUS-107,2026-05-22 22:38:28.630000,confirmed
201,Meredith Gould,55555-2876539-5,20,BUS-107,2026-05-22 22:38:28.577000,confirmed
177,Monica Love,66666-8952068-6,22,BUS-107,2026-05-22 22:38:28.510000,confirmed
71,Christy Bishop,44444-8335565-4,24,BUS-107,2026-05-22 22:38:28.140000,confirmed
29,Brittany Garcia,22222-6608128-2,25,BUS-107,2026-05-22 22:38:27.957000,confirmed
131,Mark Salinas,66666-3314297-6,28,BUS-107,2026-05-22 22:38:28.360000,confirmed
146,Samuel Evans,88888-6535587-8,29,BUS-107,2026-05-22 22:38:28.417000,confirmed
147,Teresa Leach,22222-7783946-2,30,BUS-107,2026-05-22 22:38:28.420000,confirmed
202,Leonard Kemp,66666-3145368-6,31,BUS-107,2026-05-22 22:38:28.580000,confirmed
9,Alice Porter,99999-1422739-9,33,BUS-107,2026-05-22 22:38:27.860000,confirmed
89,Tim Christensen,99999-1152391-9,36,BUS-107,2026-05-22 22:38:28.207000,confirmed
103,Tracy Johnson,22222-5911748-2,37,BUS-107,2026-05-22 22:38:28.257000,confirmed
49,James Mathews,88888-4923872-8,1,BUS-108,2026-05-22 22:38:28.047000,confirmed
154,Jessica Young,77777-9776444-7,2,BUS-108,2026-05-22 22:38:28.440000,confirmed
27,Cynthia King,66666-9017427-6,3,BUS-108,2026-05-22 22:38:27.943000,confirmed
127,Desiree Bird,66666-9510363-6,4,BUS-108,2026-05-22 22:38:28.347000,confirmed
193,Rebecca Cameron,88888-0960206-8,10,BUS-108,2026-05-22 22:38:28.557000,confirmed
88,Joe Cordova Jr.,33333-7728397-3,11,BUS-108,2026-05-22 22:38:28.200000,confirmed
195,Kevin Bennett,88888-7547058-8,13,BUS-108,2026-05-22 22:38:28.560000,confirmed
160,Anthony Holloway,33333-7963538-3,14,BUS-108,2026-05-22 22:38:28.460000,confirmed
85,Amy Newton,22222-0949124-2,17,BUS-108,2026-05-22 22:38:28.190000,confirmed
169,Eric Miles,33333-1861784-3,18,BUS-108,2026-05-22 22:38:28.490000,confirmed
221,Michael Harris,44444-2893282-4,19,BUS-108,2026-05-22 22:38:28.640000,confirmed
158,Christine Green,11111-4565294-1,20,BUS-108,2026-05-22 22:38:28.453000,confirmed
209,Maria Jensen,22222-5198869-2,21,BUS-108,2026-05-22 22:38:28.600000,confirmed
57,Lisa Floyd,88888-2951363-8,23,BUS-108,2026-05-22 22:38:28.073000,confirmed
32,Janice Robertson,33333-4639794-3,24,BUS-108,2026-05-22 22:38:27.970000,confirmed
187,Debbie Howell,11111-2874547-1,26,BUS-108,2026-05-22 22:38:28.540000,confirmed
31,Joseph Baird Jr.,88888-0872862-8,31,BUS-108,2026-05-22 22:38:27.963000,confirmed
46,Bobby Cantrell,22222-3016836-2,32,BUS-108,2026-05-22 22:38:28.027000,confirmed
206,Tracy Fuller,44444-6244839-4,34,BUS-108,2026-05-22 22:38:28.587000,confirmed
112,Richard Roberts,33333-3718785-3,35,BUS-108,2026-05-22 22:38:28.290000,confirmed
125,John Jackson,99999-5508324-9,36,BUS-108,2026-05-22 22:38:28.343000,confirmed
90,Tim Christensen,99999-1152391-9,39,BUS-108,2026-05-22 22:38:28.207000,confirmed
70,Danielle Church,88888-5476935-8,40,BUS-108,2026-05-22 22:38:28.133000,confirmed
135,Luis Jensen,88888-4894292-8,1,BUS-109,2026-05-22 22:38:28.367000,confirmed
123,Kaylee Hunt,77777-0248598-7,4,BUS-109,2026-05-22 22:38:28.337000,confirmed
50,Regina Edwards,33333-4276244-3,5,BUS-109,2026-05-22 22:38:28.050000,confirmed
45,Jeremiah Craig,11111-3278653-1,6,BUS-109,2026-05-22 22:38:28.023000,confirmed
106,Amy Terrell,55555-2221504-5,8,BUS-109,2026-05-22 22:38:28.263000,confirmed
22,Jessica Patel,77777-1798062-7,9,BUS-109,2026-05-22 22:38:27.920000,confirmed
157,John Williams,88888-5820462-8,13,BUS-109,2026-05-22 22:38:28.450000,confirmed
35,Rachel Cruz,66666-7779227-6,14,BUS-109,2026-05-22 22:38:27.983000,confirmed
210,Maria Jensen,22222-5198869-2,16,BUS-109,2026-05-22 22:38:28.600000,confirmed
122,Kaylee Hunt,77777-0248598-7,18,BUS-109,2026-05-22 22:38:28.337000,confirmed
81,David Freeman,88888-6936644-8,19,BUS-109,2026-05-22 22:38:28.167000,confirmed
191,Mr. Jimmy Lee,66666-2083347-6,20,BUS-109,2026-05-22 22:38:28.550000,confirmed
138,Dalton Hawkins,88888-7120112-8,21,BUS-109,2026-05-22 22:38:28.380000,confirmed
204,David Chavez,55555-0019359-5,22,BUS-109,2026-05-22 22:38:28.583000,confirmed
101,Nicolas Flores,33333-6266821-3,23,BUS-109,2026-05-22 22:38:28.250000,confirmed
72,Christy Bishop,44444-8335565-4,26,BUS-109,2026-05-22 22:38:28.140000,confirmed
111,Todd Marshall,55555-5272658-5,27,BUS-109,2026-05-22 22:38:28.287000,confirmed
92,Timothy Taylor,66666-6358295-6,28,BUS-109,2026-05-22 22:38:28.213000,confirmed
40,Mark Hardin,77777-7204789-7,30,BUS-109,2026-05-22 22:38:28.003000,confirmed
13,Elaine Welch,88888-0990788-8,32,BUS-109,2026-05-22 22:38:27.870000,confirmed
67,Julie Dickerson,66666-1593701-6,34,BUS-109,2026-05-22 22:38:28.113000,confirmed
26,Cynthia King,66666-9017427-6,36,BUS-109,2026-05-22 22:38:27.943000,confirmed
